"customer_id","customer_name","segment","region","city","state","signup_date"
"CUST-0089","Jeremy Dalton","Consumer","East","Torreston","South Carolina","2025-12-25"
"CUST-0090","Phillip Garrett","Consumer","East","Donnaburgh","Kansas","2023-03-26"
"CUST-0091","Aaron Hayes","Corporate","Central","Carterbury","Maine","2025-02-04"
"CUST-0092","Jordan Mcdaniel","Home Office","West",NULL,"Texas","2025-06-08"
"CUST-0093","Brian Walker","Consumer","East","West Margaret","California","2022-10-31"
"CUST-0094","Linda Holloway","Home Office","West","Scottmouth","Vermont","2023-09-08"
"CUST-0095","Dillon Fernandez","Consumer","East","Millerton","Nevada","2025-03-11"
"CUST-0096","Allison Perez","Consumer","West","Port Emilyview","Oregon","2022-10-06"
"CUST-0097","Julie Pearson","Consumer","South","Howardshire","Nevada","2024-11-04"
"CUST-0098","Brandon Bailey MD","Consumer","South","Port Eugenechester","Vermont","2024-05-10"
"CUST-0099","Jennifer Hodges","Corporate","West","South Christopherview","Massachusetts","2023-01-11"
"CUST-0100","Sharon Bryan","Home Office","South","Lake Mollymouth","Nebraska","2022-10-24"
"CUST-0101","Lisa Jimenez","Home Office","South","Wolfborough","Louisiana","2024-07-17"
"CUST-0102","Jessica Wolfe","Corporate","West","North Teresabury","Virginia","2023-03-06"
"CUST-0103","Kristen Davis","Consumer","West","South Staceyberg","New York","2025-11-19"
"CUST-0104","Michael Perry","Consumer","West","Bairdbury","New Jersey","2024-07-20"
"CUST-0105","Thomas Romero","Consumer","South","Port Chad","Wyoming","2025-05-21"
"CUST-0106","Timothy Romero","Consumer","Central","West Jessicashire","Pennsylvania","2026-02-12"
"CUST-0107","Charles Ryan MD","Consumer","East","Gibsonmouth","Illinois","2026-01-20"
"CUST-0108","James Chase","Home Office","South","Williamsfort","Virginia","2025-10-26"
"CUST-0109","William Sparks","Corporate","Central","South Tammie","Florida","2024-05-18"
"CUST-0110","Sheila Sawyer","Consumer","West","Garciamouth","Alabama","2025-02-24"
"CUST-0111","Matthew Moore","Home Office","East","Harringtonview","Michigan","2024-10-20"
"CUST-0112","Bobby Murphy","Consumer","Central","Finleyfort","Ohio","2022-09-30"
"CUST-0113","Mark Mccall","Consumer","Central","Lake Christopher","Connecticut","2025-04-13"
"CUST-0114","Ashlee Jackson","Consumer","South","Rebeccaton","Massachusetts","2025-05-29"
"CUST-0115","James Thomas","Consumer","South","Knightburgh","Hawaii","2023-03-27"
"CUST-0116","Janet Vega","Consumer","West","Durhamberg","Iowa","2024-03-27"
"CUST-0117","David Smith","Corporate","Central","Santanaside","Hawaii","2022-11-18"
"CUST-0118","Victoria Evans","Consumer","West","Vaughnmouth","Maryland","2023-04-27"
"CUST-0119","John Young","Home Office","West","Baileyport","Alaska","2026-01-16"
"CUST-0120","Denise Knight","Corporate","Central","New Julieport","Wyoming","2025-06-01"
"CUST-0121","Heather Fields","Consumer","Central","Ericaberg","South Dakota","2022-12-18"
"CUST-0122","Amanda Kramer","Consumer","South","New Michaelberg","Colorado","2025-10-21"
"CUST-0123","Jason Gonzalez","Consumer","Central","Alyssaview","Hawaii","2023-07-10"
"CUST-0124","Karen Drake","Consumer","East","Lindamouth","California","2023-02-11"
"CUST-0125","Shannon Ramsey","Corporate","West","Coffeyside","Mississippi","2022-12-09"
"CUST-0126","Dennis Martinez","Consumer","Central","Emilyview","Pennsylvania","2023-12-15"
"CUST-0127","Jacqueline Leonard","Consumer","East","Johnsonside","Massachusetts","2025-10-28"
"CUST-0128","Arthur Colon","Home Office","South","Debraville","Florida","2022-10-12"
"CUST-0129","Zachary Wilson","Consumer","West","New Derek","New Jersey","2023-12-03"
"CUST-0130","Melissa Fernandez","Consumer","South","South Diana","New York","2024-10-10"
"CUST-0131","Diana Vaughn","Home Office","South","South Sean","Kansas","2025-08-13"
"CUST-0132","Michael Stephens","Consumer","West","Bruceview","Illinois","2026-01-04"
"CUST-0133","Samantha Davis","Corporate","Central","Lake Danielle","Alaska","2022-10-19"
"CUST-0134","William Buchanan","Corporate","South","North Maria","Oklahoma","2023-05-07"
"CUST-0135","Sergio Murphy","Corporate","West","Port Rachel","Alabama","2023-08-05"
"CUST-0136","Dr. Kimberly Lindsey","Corporate","West","Lake Michelleberg","Alabama","2023-11-16"
"CUST-0137","Leah Smith","Corporate","South","Brianchester","North Dakota","2023-01-08"
"CUST-0138","Jerome Cox","Consumer","West","South Williamton","Washington","2025-05-12"
"CUST-0139","Kelly Ellis","Consumer","East","North Yolandafurt","Nevada","2025-01-08"
"CUST-0140","Theodore Jones Jr.","Consumer","Central","North David","South Carolina","2024-11-02"
"CUST-0141","Erika Vang","Corporate","West","Shawnchester","Connecticut","2025-05-25"
"CUST-0142","Matthew Rich","Corporate","West","South Shannon","Iowa","2024-01-26"
"CUST-0143","Jennifer Blair","Consumer","South","Ronaldview","Mississippi","2025-12-16"
"CUST-0144","Kara Davis","Corporate","West","North Ryanstad","Florida","2024-07-27"
"CUST-0145","Kristina Rivera","Consumer","West","South Michaelchester","Washington","2022-10-20"
"CUST-0146","Erik Garcia","Consumer","Central","East Diane","Iowa","2025-08-02"
"CUST-0147","Justin Wilson","Corporate","West","Audreychester","Oklahoma","2026-01-12"
"CUST-0148","Lisa Day","Corporate","East","New Sarahview","Alaska","2023-04-03"
"CUST-0149","Ellen Morgan","Consumer","West","East Mollyshire","Texas","2024-01-10"
"CUST-0150","Mark Johnson","Consumer","South","South Robert","Michigan","2023-03-05"
"CUST-0151","Frederick Pugh","Home Office","East","North Ericton","Utah","2022-11-28"
"CUST-0152","Jeff Lawson","Corporate","Central","Nelsonhaven","Delaware","2023-10-31"
"CUST-0153","Michael Watkins","Consumer","West","Brandonfurt","Rhode Island","2022-10-25"
"CUST-0154","Tony Saunders","Consumer","South","Keithville","Alabama","2024-05-12"
"CUST-0155","Carl Patel","Corporate","South","New Angelica","Texas","2025-06-11"
"CUST-0156","Scott Williams","Home Office","West","South Samanthamouth","Oregon","2024-02-15"
"CUST-0157","Mark Roberts","Consumer","West","Smithmouth","Hawaii","2025-06-05"
"CUST-0158","Sandra Gillespie","Corporate","South","South Meganbury","Nevada","2024-09-06"
"CUST-0159","Jennifer Collins","Consumer","Central","Jeffreyburgh","California","2024-05-29"
"CUST-0160","Jordan Bullock","Consumer","South","Michaelberg","Kansas","2022-12-25"
"CUST-0161","Christopher Hernandez","Home Office","South","East Stephaniefort","New Jersey","2025-04-06"
"CUST-0162","Joann Glass","Corporate","South",NULL,"Georgia","2024-02-29"
"CUST-0163","Mark Hogan","Consumer","Central","West Williamport","New Jersey","2024-03-15"
"CUST-0164","Ronald Jones","Consumer","South","New Brookefurt","New Jersey","2024-08-26"
"CUST-0165","Nancy Williams","Corporate","South","West Cassidy","North Carolina","2023-02-24"
"CUST-0166","Brian Nolan","Corporate","West","Toniland","North Carolina","2024-11-18"
"CUST-0167","Michael Ritter","Corporate","West","West Nathan","Maine","2023-12-24"
"CUST-0168","Meghan Williams","Home Office","South","Cameronville","Oklahoma","2024-12-29"
"CUST-0169","Nathaniel Douglas","Consumer","South","West Christopher","Texas","2023-02-12"
"CUST-0170","Walter Hale","Consumer","East","Andersonland","Maryland","2024-07-30"
"CUST-0171","Erin Anderson","Corporate","West","Lake Ellenhaven","Mississippi","2022-09-08"
"CUST-0172","Trevor Peterson","Consumer","West","Leeberg","Georgia","2022-11-22"
"CUST-0173","Ashley Wise","Consumer","South","Lake Matthewberg","Rhode Island","2023-12-10"
"CUST-0174","Ronald Wise","Home Office","West","Lake Samuel","Nebraska","2023-11-24"
"CUST-0175","Tracy Bishop","Corporate","East","Youngbury","Maryland","2026-01-01"
"CUST-0176","Stephanie Lee","Home Office","East","Murrayport","Wyoming","2023-12-17"
"CUST-0177","Tracy Montoya","Home Office","West","Port John","Tennessee","2024-04-21"
"CUST-0178","Timothy Dawson","Home Office","West","West Christopherburgh","Louisiana","2024-03-12"
"CUST-0179","Sandra Davis","Home Office","West","Port Shannon","Minnesota","2025-11-17"
"CUST-0180","James Brooks","Consumer","East","Vangstad","Iowa","2022-09-21"
"CUST-0181","Sara Santos","Corporate","East","East Benjamin","New Mexico","2025-01-21"
"CUST-0182","Michael West","Corporate","East","North Andrewborough","Georgia","2024-07-17"
"CUST-0183","Kelsey Rodriguez","Consumer","East","Johnville","Arkansas","2023-06-16"
"CUST-0184","Lisa Brown","Consumer","Central","Carlsontown","South Dakota","2024-06-04"
"CUST-0185","Charles Patterson","Consumer","South","Johnchester","Idaho","2024-12-12"
"CUST-0186","William Jones","Consumer","Central","South Morganton","South Dakota","2023-12-23"
"CUST-0187","Paul Kelly","Corporate","Central","West Johnville","Wyoming","2024-08-28"
"CUST-0188","Brandi Bell","Consumer","West","Lisaburgh","Wyoming","2025-01-07"
"CUST-0189","Mrs. Catherine Taylor","Corporate","East","Johnsonborough","Arizona","2025-05-23"
"CUST-0190","Emily Collins","Consumer","South","Haysside","New Mexico","2023-07-05"
"CUST-0191","Cheryl Kelly","Corporate","East","Port Dianaview","Delaware","2025-06-02"
"CUST-0192","James Gonzales","Consumer","East","Morganburgh","New York","2025-01-16"
"CUST-0193","Robert Adams","Consumer","West","Lake Rogerchester","Rhode Island","2026-02-07"
"CUST-0194","Edward Garcia","Consumer","East","Donnaport","New Hampshire","2024-09-24"
"CUST-0195","Michael Bell","Home Office","Central","Lake Mollystad","South Carolina","2026-02-11"
"CUST-0196","William Gould","Home Office","Central","Lake Danastad","North Carolina","2025-06-04"
"CUST-0197","Tiffany Thomas","Consumer","East","Johnsonland","Kansas","2025-05-06"
"CUST-0198","James Bradley","Consumer","West","Lake Shannon","Mississippi","2023-12-04"
"CUST-0199","Laura Moreno","Consumer","East","Edwardsview","Kansas","2025-12-25"
"CUST-0200","Cody Holmes","Corporate","East","West Kimberlymouth","Indiana","2026-02-09"
"CUST-0201","Thomas Henry","Consumer","West","East Melissamouth","Idaho","2025-10-07"
"CUST-0202","Brandon Fleming","Consumer","South","Elizabethland","Oklahoma","2024-07-08"
"CUST-0203","Sarah Joseph","Corporate","West","Port Michael","Iowa","2023-01-18"
"CUST-0204","Charles Tyler","Consumer","East","West Angelastad","New Jersey","2025-06-08"
"CUST-0205","Lisa Miller","Corporate","East","Raymondfort","North Dakota","2024-01-22"
"CUST-0206","Kenneth Martinez","Corporate","Central","Dawnmouth","New Jersey","2025-01-01"
"CUST-0207","Shawn Deleon","Corporate","West","Port Tammy","Nevada","2024-05-19"
"CUST-0208","Sandra Holmes","Consumer","West","Fredmouth","Virginia","2023-05-31"
"CUST-0209","Kelly Campbell","Consumer","East","West Jamesside","Louisiana","2023-01-22"
"CUST-0210","Joseph Shaw","Corporate","West","New Shelly","Georgia","2023-03-22"
"CUST-0211","Stephanie Morgan","Consumer","Central","Port Michelleland","Arizona","2025-12-10"
"CUST-0212","Deborah Clark","Consumer","Central","Montgomerytown","New York","2025-09-25"
"CUST-0213","Maria Turner","Consumer","West","Port Lindsay","Montana","2023-08-31"
"CUST-0214","Anthony Gonzales","Corporate","West","Marshallmouth","Rhode Island","2023-02-15"
"CUST-0215","Emma Travis","Corporate","Central","Theresaberg","Wisconsin","2023-12-02"
"CUST-0216","Emma Owens","Consumer","East","Shannonberg","Connecticut","2022-10-19"
"CUST-0217","Sharon Barnes","Consumer","South","Port Mark","Oregon","2025-02-22"
"CUST-0218","Christopher Ferrell","Consumer","West","Jimenezport","New York","2022-09-14"
"CUST-0219","Kathy Levy","Consumer","South","New Michael","Arkansas","2023-08-10"
"CUST-0220","Sarah Chambers","Consumer","South","Amandaville","Nevada","2023-02-03"
"CUST-0221","Jacob Powell","Corporate","South","South Brettside","Illinois","2023-11-22"
"CUST-0222","James Cole","Corporate","South","Marciaville","Florida","2026-01-13"
"CUST-0223","Robert Morgan","Home Office","Central","Kariborough","Rhode Island","2024-05-27"
"CUST-0224","Amber Taylor","Corporate","East","Lindahaven","New Jersey","2023-02-22"
"CUST-0225","Brenda Velazquez","Corporate","East",NULL,"Pennsylvania","2023-10-19"
"CUST-0226","Kim Erickson","Home Office","Central","Thomastown","Mississippi","2023-10-13"
"CUST-0227","Jason Parker","Consumer","West","New Thomasshire","Oregon","2023-06-02"
"CUST-0228","John Warren","Consumer","Central","Hernandezbury","Arizona","2024-08-16"
"CUST-0229","Cheryl Alexander","Corporate","East","Hernandezborough","Nebraska","2024-05-18"
"CUST-0230","Kaitlyn Charles","Corporate","West","Lake Devinborough","Oklahoma","2023-10-05"
"CUST-0231","Kelly Edwards","Consumer","West",NULL,"Michigan","2024-07-14"
"CUST-0232","Sharon Becker","Consumer","East","Chelseaborough","Kansas","2023-08-07"
"CUST-0233","Todd Hendrix","Consumer","West","Janetfort","Massachusetts","2024-04-20"
"CUST-0234","Taylor Griffith","Consumer","Central","Davidside","Missouri","2025-10-03"
"CUST-0235","Gregory Mejia","Corporate","West",NULL,"Virginia","2022-11-24"
"CUST-0236","Mary Burgess","Consumer","East","East Maria","Louisiana","2025-11-20"
"CUST-0237","Breanna Gilbert","Consumer","West","East Brent","North Dakota","2023-05-31"
"CUST-0238","Brett Rivera","Consumer","South","Garciaberg","Alabama","2025-12-30"
"CUST-0239","Brooke Delgado","Corporate","Central","Woodsborough","Wisconsin","2025-12-29"
"CUST-0240","Matthew Velez","Home Office","Central","Lake Audreyside","West Virginia","2025-02-25"
"CUST-0241","Susan Thompson","Consumer","West","North Wendy","Montana","2025-05-19"
"CUST-0242","Paul Brennan","Consumer","Central","Nancytown","Maryland","2024-08-10"
"CUST-0243","William Mitchell","Home Office","South","Smallberg","North Carolina","2024-04-05"
"CUST-0244","Brian Martin","Consumer","Central","Wongburgh","Alabama","2025-03-14"
"CUST-0245","Laura Todd","Consumer","Central","New Melissa","Montana","2025-07-07"
"CUST-0246","Angie Caldwell","Consumer","West","East Thomas","Kansas","2022-08-24"
"CUST-0247","Jeremy Adams","Consumer","West","Kevinshire","Alabama","2023-07-16"
"CUST-0248","David Contreras","Consumer","Central","Parkerfurt","Utah","2024-05-19"
"CUST-0249","Michele Collins","Consumer","West","Lake Sabrinaport","Mississippi","2024-10-09"
"CUST-0250","Casey Hernandez","Consumer","West",NULL,"New Mexico","2025-04-09"
